Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
186031cc1e4cde590dc5348caeb6c87d	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9997627	ASV3220
0b9ece4f2c2768362006fbfcf0b2560a	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999924	ASV3221
53f7f97bd03bf98789f6c00d18724d97	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9750696	ASV3222
0e0c55c3f345a7d47231f6575b5221d3	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	0.982697	ASV3223
b683f3a5fa95dfd2ef3e1e7a18ddbacc	Verrucomicrobia	Opitutae	Cerasicoccales	Cerasicoccaceae	 f__Cerasicoccaceae	 f__Cerasicoccaceae	0.9999882	ASV3224
224bb1ee982e08cfebdd811896bae31b	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.7191943	ASV3225
72cc237639bb7e535b57eef4421399c2	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9770394	ASV3226
02280b3d4f24e118f1aba2a7c0bc7e31	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9964318	ASV3227
bf7cee3ac2635a903cf8532341ec1909	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Anaerovibrio	 g__Anaerovibrio	0.9851421	ASV3228
b4592b388e3fcc6214b109c09443513e	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	 s__clausii	0.9974694	ASV3229
99b3cb52119484e4e5f8e6daf1f693ff	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	 s__viridans	0.7021009	ASV323
4a36607deda091d30c5ff784b61a7bb6	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.9986464	ASV3230
b338ff39de3d876f8bf701d9ea4f74ad	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium	 s__methylpentosum	0.9616343	ASV3231
f93e44b76e27a76d0592bab5868e7afa	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9946442	ASV3232
e7c2a1d0caa095199703d145f281a195	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.7162934	ASV3233
0e0a1e0594c76dbcf14a7467653eeba8	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	 s__lavalense	0.9709411	ASV3234
22439c87e30038028e0cddecd5460c5c	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9854784	ASV3235
04410302430d6802ad41fee9adfdabea	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9997143	ASV3236
40cc1f52808248fcdaf288172e6e6588	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999981	ASV3237
f40a85872949fb2580ce93b1ae6e2269	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 g__Pseudomonas	0.8674096	ASV3238
8498e5b2f6b87119fa57ca46bc986597	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8720897	ASV3239
