OTUs	Phylum	Class	Order	Family	Genus	Species	Confidence
dc6e860d1dbea2b478ec96c028c2372a	Tenericutes	unclassified_Tenericutes	unclassified_Tenericutes	unclassified_Tenericutes	unclassified_Tenericutes	unclassified_Tenericutes	0.7187383
dc79a5b92824fde8b998534eacf14a08	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9815421
dc90413cbedda981b7529f00d40f40f8	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified_Blautia	0.874623
dc946635421229f6fde797d96f5da6a3	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	unclassified_Anaeroplasmataceae	unclassified_Anaeroplasmataceae	0.9992934
dca58b8d6d8f09cd0bad01fa815e126f	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified_Coprococcus	0.9797898
dcadd3a06cd21ac5a915b58fddfe2156	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.865571
dcafb3a0affeab2bcd31b397281263dc	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	unclassified_Fibrobacter	1
dcb4602e492c465cd9168eb5f7caabe5	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unclassified_Roseburia	0.9859332
dcb6f907ba2d927889e4791e13443233	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9997038
dcc04189e656ee1997b28b9818835eed	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.8144775
dccaabb8a9efd49ce75f272952ee914f	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.7871412
dcdbca4471abcc91ec5f639b462fe235	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	Clostridium lavalense	0.8515764
dd27f3a356c85379aa4c230acf29df4b	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	unclassified_Corynebacterium	0.9999996
