	10_d112	11_d112	12_d112	13_d112	14_d112	15_d112	16_d112	17_d112	18_d112	19_d112	2_d112	20_d112	21_d112	23_d112	24_d112	26_d112	27_d112	28_d112	29_d112	3_d112	30_d112	4_d112	5_d112	6_d112	61_d112	62_d112	64_d112	65_d112	66_d112	68_d112	7_d112	70_d112	71_d112	72_d112	73_d112	74_d112	75_d112	76_d112	77_d112	78_d112	79_d112	8_d112	80_d112	81_d112	83_d112	84_d112	85_d112	86_d112	88_d112	89_d112	9_d112	90_d112
X10_d112	0	0.104025763	0.10148394	0.196822832	0.139124457	0.133258029	0.146939941	0.187679831	0.15543894	0.168854673	0.164937356	0.117008342	0.152068825	0.161131293	0.142185944	0.176363864	0.159707309	0.159010701	0.197029293	0.145630409	0.185070555	0.148979782	0.163364841	0.175906567	0.299357827	0.172547527	0.193603694	0.191349082	0.181953374	0.214888233	0.163348097	0.212763924	0.180544657	0.276089523	0.219231861	0.15357033	0.209185612	0.173452507	0.231250117	0.164850684	0.235448807	0.197343136	0.221766132	0.297356618	0.238248006	0.18974952	0.180584594	0.194844929	0.230165034	0.168529354	0.182760347	0.169241862
X11_d112	0.104025763	0	0.124560132	0.14787843	0.109033861	0.145113532	0.130561383	0.16938172	0.112368167	0.14402368	0.123315551	0.106488492	0.147122383	0.147917989	0.112835588	0.151830171	0.137748396	0.153520891	0.17106602	0.116745387	0.184684591	0.11543694	0.119905868	0.145947837	0.314308414	0.169197766	0.19636888	0.200802473	0.141678751	0.204883088	0.13849787	0.215701853	0.170182024	0.278372352	0.220854535	0.124506051	0.213793469	0.173676354	0.243262639	0.168411124	0.180765426	0.135095475	0.189725424	0.24460511	0.192905893	0.151205125	0.137311197	0.14882565	0.19728282	0.128047763	0.146111621	0.129860779
X12_d112	0.10148394	0.124560132	0	0.172322008	0.120705366	0.112523096	0.123730743	0.154313251	0.139066204	0.143954138	0.147906752	0.119700673	0.157392187	0.126995149	0.145848603	0.135181334	0.121503245	0.11108665	0.160075173	0.133202336	0.133258111	0.11709137	0.130232913	0.174370686	0.259049456	0.128306054	0.161041772	0.150207754	0.181991139	0.165939789	0.150068134	0.165311949	0.150417401	0.230006566	0.193058071	0.143695303	0.168291267	0.143226123	0.194495981	0.129936673	0.216170996	0.200793098	0.210632869	0.284207939	0.257011593	0.186454788	0.184179515	0.178779777	0.19273368	0.13368531	0.165708909	0.173909716
X13_d112	0.196822832	0.14787843	0.172322008	0	0.145389468	0.186575133	0.182173681	0.164854552	0.144349503	0.162555428	0.155452232	0.189443641	0.239428498	0.126489157	0.134237138	0.112214788	0.11738962	0.135020955	0.148508716	0.174637624	0.165337922	0.128581316	0.137792963	0.169713962	0.279754298	0.142205403	0.178672677	0.183143909	0.177100009	0.191601835	0.173260478	0.189725647	0.172968854	0.244968662	0.222127617	0.18362281	0.182363647	0.216023565	0.209060165	0.188851026	0.213205706	0.201137099	0.255710875	0.258228867	0.216802392	0.147399097	0.14436841	0.174311223	0.158063323	0.167125611	0.196178823	0.153567451
X14_d112	0.139124457	0.109033861	0.120705366	0.145389468	0	0.160627766	0.111723874	0.12029497	0.105895568	0.119988037	0.106953626	0.140146936	0.139408374	0.141730628	0.095863353	0.124639478	0.14645401	0.118990264	0.142315612	0.115962216	0.162635608	0.094583881	0.084443946	0.147448453	0.292386567	0.151201149	0.183681902	0.169011497	0.134520594	0.189405861	0.128426021	0.199766658	0.14409713	0.246371568	0.20122621	0.107139272	0.180632213	0.155296708	0.212447067	0.151361785	0.171807172	0.136449536	0.196047074	0.236510587	0.190066243	0.155232344	0.123531411	0.134017843	0.184380019	0.113960522	0.139437321	0.133660913
X15_d112	0.133258029	0.145113532	0.112523096	0.186575133	0.160627766	0	0.136161106	0.185573769	0.138463192	0.152815832	0.162474153	0.145134872	0.169375086	0.142281288	0.153332053	0.182037284	0.18248636	0.152016987	0.189648204	0.154834149	0.168461319	0.131420794	0.153245194	0.198440564	0.267961015	0.147465475	0.171014511	0.162067117	0.197602748	0.157602106	0.173415235	0.162880835	0.167756805	0.226715208	0.196398253	0.172403555	0.180840433	0.173905027	0.22278113	0.154751335	0.209628267	0.208212715	0.189857168	0.293504021	0.272277034	0.192468927	0.183336753	0.191130004	0.211661713	0.150815794	0.16706194	0.177628216
X16_d112	0.146939941	0.130561383	0.123730743	0.182173681	0.111723874	0.136161106	0	0.144360397	0.10591396	0.13333522	0.115821169	0.14565615	0.142010226	0.124450331	0.119688178	0.15743574	0.154373969	0.11355639	0.176707384	0.111605027	0.142075048	0.108729974	0.119700889	0.149290141	0.273916652	0.149210134	0.178027247	0.167711089	0.165129955	0.17394884	0.128615388	0.178061422	0.136290735	0.23783477	0.213777446	0.145698471	0.187646561	0.122028108	0.211658917	0.130657699	0.158509568	0.146559742	0.16327709	0.252500226	0.209022001	0.159024756	0.116238274	0.143272446	0.197298834	0.135688445	0.128940649	0.162821718
X17_d112	0.187679831	0.16938172	0.154313251	0.164854552	0.12029497	0.185573769	0.144360397	0	0.151263862	0.101762914	0.150985015	0.188592023	0.205178629	0.140833529	0.134012402	0.145658702	0.140574878	0.093009062	0.127874286	0.170411999	0.139095526	0.131537075	0.115675812	0.192010405	0.24583095	0.136801719	0.15317758	0.15139701	0.176315759	0.170723219	0.169107897	0.165710208	0.114183568	0.19427198	0.206545894	0.144263703	0.148395687	0.162825535	0.163307328	0.137726685	0.203805018	0.203897164	0.245872969	0.27675983	0.242178399	0.191580203	0.160475232	0.172889397	0.158467677	0.145866732	0.192438916	0.146948323
X18_d112	0.15543894	0.112368167	0.139066204	0.144349503	0.105895568	0.138463192	0.10591396	0.151263862	0	0.122657477	0.089918547	0.135664078	0.166510525	0.153341212	0.095225702	0.122242391	0.15290019	0.14716316	0.163037181	0.108901964	0.167173925	0.073949371	0.082759863	0.118338033	0.307710838	0.166159108	0.20381786	0.198160853	0.10957611	0.194606843	0.09294136	0.203036459	0.158546264	0.264857943	0.2137151	0.119306051	0.219140982	0.15019059	0.240942679	0.152566117	0.137139073	0.12801341	0.173555302	0.212063837	0.180668781	0.128210474	0.102404142	0.094443339	0.180888886	0.114404096	0.113882832	0.136150617
X19_d112	0.168854673	0.14402368	0.143954138	0.162555428	0.119988037	0.152815832	0.13333522	0.101762914	0.122657477	0	0.131209497	0.160505632	0.191452385	0.145139114	0.113679557	0.134767622	0.152968777	0.12225632	0.130919215	0.153655446	0.136482614	0.110586855	0.105599029	0.166097743	0.267923801	0.146446627	0.161191529	0.168974894	0.162791964	0.169319972	0.161273973	0.169768743	0.124127364	0.209211292	0.225020223	0.145189634	0.176030278	0.168656042	0.193303721	0.135586436	0.177636309	0.186537943	0.224198937	0.252264652	0.240040373	0.167086731	0.148378958	0.161536297	0.146453597	0.12773089	0.178391366	0.140896887
