	10_d28	11_d28	12_d28	13_d28	14_d28	15_d28	16_d28	17_d28	18_d28	19_d28	2_d28	20_d28	21_d28	22_d28	23_d28	24_d28	25_d28	26_d28	28_d28	29_d28	3_d28	30_d28	4_d28	5_d28	6_d28	61_d28	62_d28	64_d28	65_d28	66_d28	67_d28	68_d28	69_d28	7_d28	70_d28	71_d28	72_d28	73_d28	74_d28	75_d28	76_d28	77_d28	78_d28	79_d28	8_d28	80_d28	81_d28	82_d28	84_d28	85_d28	86_d28	88_d28	89_d28	9_d28	90_d28
X65_d28	0.175644309	0.358050763	0.235530965	0.191449243	0.285479264	0.245536833	0.259439958	0.240307169	0.293517985	0.231100629	0.201140497	0.273390907	0.171617121	0.180293434	0.185340913	0.25495983	0.245060312	0.336907646	0.327160635	0.191126304	0.196535474	0.160448183	0.176752076	0.290783159	0.222118524	0.210033761	0.154943681	0.19333429	0	0.295499955	0.166299125	0.358576245	0.207590487	0.195921069	0.289819772	0.298341516	0.294912717	0.235203951	0.29848682	0.207426239	0.273702407	0.154927456	0.219328142	0.306644928	0.305104754	0.230753475	0.274154415	0.285620147	0.192587831	0.180581732	0.220784075	0.157309087	0.152790282	0.169864856	0.183480188
X66_d28	0.238283177	0.256061471	0.205371421	0.254498036	0.425374362	0.120271585	0.374982159	0.186286986	0.130593054	0.357074688	0.220055138	0.152993907	0.2093104	0.29498508	0.29429683	0.174854269	0.174282995	0.19064814	0.166987546	0.275328932	0.278038093	0.324424914	0.289331605	0.292780693	0.225839746	0.335104587	0.27353467	0.348191354	0.295499955	0	0.241964393	0.273241787	0.397444881	0.239167199	0.334010419	0.345380995	0.346458103	0.310578496	0.191199037	0.316243462	0.182657943	0.33494961	0.289033126	0.318090596	0.161077993	0.378899399	0.304433098	0.234775731	0.309046468	0.337776977	0.274061545	0.254504982	0.327519565	0.255629666	0.346410906
X67_d28	0.180299511	0.298661771	0.213796964	0.228170495	0.349126511	0.190326322	0.308278878	0.187598643	0.25597693	0.284315935	0.171465809	0.216398443	0.17079185	0.211137747	0.228619804	0.200930079	0.191431806	0.286820878	0.268500265	0.231260171	0.185560116	0.187399054	0.1196124	0.206144791	0.124921239	0.247354413	0.136828653	0.213173884	0.166299125	0.241964393	0	0.251225697	0.239554844	0.218024074	0.196593347	0.200265408	0.204688675	0.160579069	0.236695944	0.150362617	0.180921665	0.171105849	0.118998402	0.238096411	0.246338919	0.214153971	0.175928584	0.195382144	0.230646443	0.186584925	0.124582123	0.215351253	0.22709621	0.143711251	0.179270277
X68_d28	0.343844708	0.24918381	0.339379722	0.384711899	0.542860485	0.272422348	0.494613218	0.209070722	0.298120996	0.477741184	0.314430018	0.212328408	0.309910394	0.416937701	0.36977642	0.206294213	0.307713769	0.218292858	0.23207037	0.391223813	0.334557951	0.371153297	0.309307514	0.252535469	0.247133507	0.431544931	0.325376158	0.412088906	0.358576245	0.273241787	0.251225697	0	0.433363755	0.376135808	0.290945514	0.277232684	0.285294307	0.335095673	0.157452299	0.303110611	0.183105968	0.361400389	0.267272448	0.316248027	0.272131851	0.41484052	0.243002664	0.255519327	0.429650011	0.370670869	0.235881683	0.367219816	0.394506118	0.263466076	0.362947015
X69_d28	0.289095228	0.473737605	0.353585997	0.288926211	0.265577014	0.346641935	0.269703041	0.364250841	0.397912623	0.223382007	0.315848583	0.391290285	0.300311907	0.210782663	0.266686018	0.383653771	0.343639015	0.464913771	0.421015625	0.246421577	0.256757689	0.184956086	0.19220374	0.310923962	0.295766685	0.257324428	0.24489266	0.198152641	0.207590487	0.397444881	0.239554844	0.433363755	0	0.306217103	0.309681743	0.323080328	0.306140447	0.236368512	0.42502884	0.247724986	0.340543282	0.147402658	0.245748206	0.326548216	0.435700154	0.190928863	0.282908717	0.305728869	0.240705927	0.190990019	0.273436182	0.292085648	0.213866334	0.259998508	0.173639087
X7_d28	0.122114764	0.310233776	0.127641349	0.153418332	0.292107398	0.20001549	0.255501184	0.213893123	0.195273043	0.227051165	0.156243803	0.235206036	0.115502868	0.223371308	0.145385767	0.225593231	0.177977429	0.297154517	0.310420011	0.165790038	0.12329643	0.193401258	0.203026562	0.292414476	0.21003528	0.237991656	0.165336641	0.241149519	0.195921069	0.239167199	0.218024074	0.376135808	0.306217103	0	0.305858712	0.307821474	0.312391827	0.279096643	0.284641068	0.248105293	0.275132349	0.210661018	0.265695015	0.354767115	0.213523824	0.297735478	0.322720182	0.308441154	0.189089945	0.239384742	0.242966835	0.168886819	0.194893804	0.186083476	0.214538636
X70_d28	0.286514857	0.324061993	0.312352546	0.335200877	0.435478296	0.286088257	0.418126641	0.237726535	0.336717652	0.3895848	0.260441154	0.294634508	0.276004072	0.352294871	0.302573327	0.25966995	0.282542028	0.355205117	0.344427154	0.341241299	0.268820992	0.296500434	0.203214496	0.247293652	0.186695591	0.36784888	0.243748482	0.281174535	0.289819772	0.334010419	0.196593347	0.290945514	0.309681743	0.305858712	0	0.089933489	0.103191379	0.227820878	0.268612918	0.192153705	0.219022621	0.263884638	0.145807037	0.163610956	0.309836286	0.279801406	0.111366032	0.158090625	0.334017177	0.176769094	0.128812267	0.302540574	0.292515246	0.213683878	0.251875577
X71_d28	0.283603278	0.318041607	0.287010431	0.311890931	0.4399155	0.303644525	0.416759805	0.241779377	0.341084455	0.38767754	0.258687499	0.299724204	0.279989273	0.363997351	0.284097476	0.266250395	0.289414748	0.358400547	0.345028626	0.342586137	0.249026144	0.303698237	0.216632734	0.25504346	0.199587973	0.384805555	0.242810845	0.310214635	0.298341516	0.345380995	0.200265408	0.277232684	0.323080328	0.307821474	0.089933489	0	0.108269273	0.246378188	0.25162019	0.209677757	0.233760954	0.276543067	0.158526173	0.188083538	0.31242927	0.299942329	0.120703939	0.187602178	0.355175595	0.197630528	0.138824886	0.316025799	0.310998106	0.221206138	0.27188163
X72_d28	0.28704433	0.332183585	0.308966565	0.345174756	0.458772049	0.295689011	0.435407458	0.236230363	0.32480163	0.408059842	0.25144934	0.299249834	0.27576987	0.356515032	0.308536687	0.2513784	0.281034781	0.358616111	0.3439433	0.349153861	0.27233214	0.308967409	0.206336489	0.235579863	0.209502853	0.395900582	0.261417858	0.317128115	0.294912717	0.346458103	0.204688675	0.285294307	0.306140447	0.312391827	0.103191379	0.108269273	0	0.235084296	0.28104092	0.187277212	0.239525941	0.254623929	0.147485031	0.173773636	0.321473815	0.311160326	0.127279895	0.186964807	0.351522404	0.187942125	0.15388642	0.31841367	0.314018158	0.218317432	0.241162523
X73_d28	0.259730924	0.386918147	0.30305271	0.305903777	0.413180331	0.256432284	0.393640179	0.270652059	0.331800177	0.359575509	0.269745083	0.271500346	0.24705565	0.286564289	0.312769885	0.301738999	0.260685229	0.372405886	0.318300637	0.291056802	0.247562863	0.254346523	0.171378178	0.237148278	0.20495995	0.31080058	0.222258284	0.231154547	0.235203951	0.310578496	0.160579069	0.335095673	0.236368512	0.279096643	0.227820878	0.246378188	0.235084296	0	0.322350975	0.184698935	0.225083521	0.186373685	0.162898094	0.221895463	0.343678812	0.208680341	0.218357274	0.211073635	0.296579955	0.187624536	0.174508767	0.262399886	0.291184022	0.217771647	0.19659358
X74_d28	0.247157979	0.191371434	0.247462861	0.279048742	0.436086661	0.186388401	0.399470253	0.158489027	0.220269824	0.376890582	0.228515047	0.145421194	0.232770584	0.324872189	0.270733168	0.133777081	0.222564563	0.16765329	0.148419682	0.306310894	0.308876023	0.337411202	0.284605415	0.267560917	0.223883268	0.345645051	0.270018629	0.394790854	0.29848682	0.191199037	0.236695944	0.157452299	0.42502884	0.284641068	0.268612918	0.25162019	0.28104092	0.322350975	0	0.285620879	0.166671601	0.348420813	0.248397504	0.302656884	0.189175774	0.397928238	0.243084591	0.240851609	0.368159469	0.36100637	0.21497727	0.270762826	0.304784342	0.229579333	0.356540221
