ID	Wudist	distance	treatment
79	0.349516662	0d-112d	CON
80	0.470263058	0d-112d	CON
86	0.515939539	0d-112d	CON
88	0.548565581	0d-112d	CON
89	0.519723961	0d-112d	CON
90	0.3790931	0d-112d	CON
12	0.577713776	0d-112d	SCFP
14	0.510365049	0d-112d	SCFP
2	0.530292101	0d-112d	SCFP
20	0.567819972	0d-112d	SCFP
21	0.497039211	0d-112d	SCFP
24	0.48746712	0d-112d	SCFP
26	0.497727435	0d-112d	SCFP
3	0.52026344	0d-112d	SCFP
62	0.200206758	0d-112d	SCFP
65	0.322896957	0d-112d	SCFP
71	0.433597369	0d-112d	SCFP
73	0.498199404	0d-112d	SCFP
74	0.380511925	0d-112d	SCFP
75	0.486242091	0d-112d	SCFP
76	0.433485843	0d-112d	SCFP
77	0.490141967	0d-112d	SCFP
78	0.552384038	0d-112d	SCFP
8	0.500604771	0d-112d	SCFP
81	0.379039886	0d-112d	SCFP
83	0.450509236	0d-112d	SCFP
84	0.275357789	0d-112d	SCFP
85	0.545322287	0d-112d	SCFP
9	0.518779066	0d-112d	SCFP
