AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,FamilyVar1,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,PhylumVar1,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
1.457142857,0.21351674,0.68627451,0.338095238,21,3,"""Coriobacteriaceae""",FALSE,ASV10,9.285714286,0,21,0,"""Actinobacteria""",0.978231293,FALSE,0,"""ASV10""",640,0.281385281
1.514285714,0.154275892,0.660377358,0.409356725,19,3,"""Ruminococcaceae""",FALSE,ASV100,10.26315789,0,19,0,"""Firmicutes""",0.975510204,FALSE,0,"""ASV100""",530,0.319078947
3.571428571,0,0.28,0,1,5,"""Lachnospiraceae""",FALSE,ASV101,2,0,1,0,"""Firmicutes""",0.87755102,FALSE,0,"""ASV101""",0,0
1.657142857,0.035480859,0.603448276,0.637362637,14,3,"""Lachnospiraceae""",FALSE,ASV106,12.71428571,0,14,0,"""Firmicutes""",0.968707483,FALSE,0,"""ASV106""",172,0.385281385
1.914285714,0.005602241,0.52238806,0.733333333,6,3,"""Lachnospiraceae""",FALSE,ASV116,13.66666667,0,6,0,"""Firmicutes""",0.956462585,FALSE,0,"""ASV116""",34,0.427083333
3.314285714,0,0.301724138,0,1,5,"""Bacteroidaceae""",FALSE,ASV163,3,0,1,0,"""Bacteroidetes""",0.889795918,FALSE,0,"""ASV163""",0,0
1.657142857,0.028296834,0.603448276,0.637362637,14,3,"""Lachnospiraceae""",FALSE,ASV167,12.78571429,0,14,0,"""Firmicutes""",0.968707483,FALSE,0,"""ASV167""",160,0.387445887
2.485714286,0,0.402298851,0,1,4,"""Lactobacillaceae""",FALSE,ASV187,19,0,1,0,"""Firmicutes""",0.929251701,FALSE,0,"""ASV187""",0,0
2.257142857,0,0.443037975,1,3,4,"""Lachnospiraceae""",FALSE,ASV198,16.66666667,0,3,0,"""Firmicutes""",0.940136054,FALSE,0,"""ASV198""",0,0.694444444
1.8,0.035274898,0.555555556,0.621212121,12,4,"""Ruminococcaceae""",FALSE,ASV20,12.83333333,0,12,0,"""Firmicutes""",0.961904762,FALSE,0,"""ASV20""",148,0.413978495
2.4,0,0.416666667,1,2,4,"""Ruminococcaceae""",FALSE,ASV215,13,0,2,0,"""Firmicutes""",0.933333333,FALSE,0,"""ASV215""",0,0.619047619
2.142857143,0,0.466666667,1,3,4,"""Lachnospiraceae""",FALSE,ASV23,16,0,3,0,"""Firmicutes""",0.945578231,FALSE,0,"""ASV23""",0,0.571428571
2.057142857,0,0.486111111,1,4,4,"""Lachnospiraceae""",FALSE,ASV236,17.75,0,4,0,"""Firmicutes""",0.949659864,FALSE,0,"""ASV236""",0,0.591666667
1.857142857,0.013404089,0.538461538,0.755555556,10,4,"""Lachnospiraceae""",FALSE,ASV258,14,0,10,0,"""Firmicutes""",0.959183673,FALSE,0,"""ASV258""",84,0.451612903
1.6,0.066824366,0.625,0.525,16,3,"""Ruminococcaceae""",FALSE,ASV27,11.5,0,16,0,"""Firmicutes""",0.971428571,FALSE,0,"""ASV27""",308,0.348484848
2.342857143,0.00140056,0.426829268,0.666666667,4,4,"""Lachnospiraceae""",FALSE,ASV279,10,0,4,0,"""Firmicutes""",0.936054422,FALSE,0,"""ASV279""",4,0.476190476
2.257142857,0,0.443037975,1,3,4,"""Lactobacillaceae""",FALSE,ASV28,14.33333333,0,3,0,"""Firmicutes""",0.940136054,FALSE,0,"""ASV28""",0,0.573333333
2.2,0.006418567,0.454545455,0.5,5,4,""" o__Clostridiales""",FALSE,ASV296,11.8,0,5,0,"""Firmicutes""",0.942857143,FALSE,0,"""ASV296""",26,0.472
2.257142857,0,0.443037975,1,3,4,"""Lactobacillaceae""",FALSE,ASV31,14.33333333,0,3,0,"""Firmicutes""",0.940136054,FALSE,0,"""ASV31""",0,0.573333333
1.457142857,0.23488074,0.68627451,0.338095238,21,3,"""Lachnospiraceae""",FALSE,ASV32,9.238095238,0,21,0,"""Firmicutes""",0.978231293,FALSE,0,"""ASV32""",724,0.27994228
2.028571429,0.015806323,0.492957746,0.733333333,6,4,"""Ruminococcaceae""",FALSE,ASV321,13.5,0,6,0,"""Firmicutes""",0.951020408,FALSE,0,"""ASV321""",72,0.465517241
2.6,0.057142857,0.384615385,0,2,4,"""Lachnospiraceae""",FALSE,ASV331,6.5,0,2,0,"""Firmicutes""",0.923809524,FALSE,0,"""ASV331""",142,0.5
1.942857143,0.006825397,0.514705882,0.761904762,7,4,"""Ruminococcaceae""",FALSE,ASV34,14.42857143,0,7,0,"""Firmicutes""",0.955102041,FALSE,0,"""ASV34""",40,0.465437788
1.685714286,0.118902228,0.593220339,0.651515152,12,3,"""Ruminococcaceae""",FALSE,ASV342,13.08333333,0,12,0,"""Firmicutes""",0.967346939,FALSE,0,"""ASV342""",344,0.393939394
1.628571429,0.045725866,0.614035088,0.561904762,15,3,"""Ruminococcaceae""",FALSE,ASV349,11.86666667,0,15,0,"""Firmicutes""",0.970068027,FALSE,0,"""ASV349""",238,0.35959596
2.342857143,0.057142857,0.426829268,0.333333333,3,4,"""Bacteroidaceae""",FALSE,ASV35,9.333333333,0,3,0,"""Bacteroidetes""",0.936054422,FALSE,0,"""ASV35""",158,0.428571429
2.285714286,9.15E-04,0.4375,0.666666667,3,4,"""Lachnospiraceae""",FALSE,ASV360,13,0,3,0,"""Firmicutes""",0.93877551,FALSE,0,"""ASV360""",8,0.565217391
2.171428571,0,0.460526316,1,5,4,"""Ruminococcaceae""",FALSE,ASV371,14.6,0,5,0,"""Firmicutes""",0.944217687,FALSE,0,"""ASV371""",0,0.584
2.285714286,0,0.4375,1,3,4,"""Ruminococcaceae""",FALSE,ASV380,14.66666667,0,3,0,"""Firmicutes""",0.93877551,FALSE,0,"""ASV380""",0,0.637681159
1.685714286,0.022156863,0.593220339,0.705128205,13,3,"""Ruminococcaceae""",FALSE,ASV42,13.30769231,0,13,0,"""Firmicutes""",0.967346939,FALSE,0,"""ASV42""",136,0.403263403
2.4,0,0.416666667,1,3,4,"""Lachnospiraceae""",FALSE,ASV497,14,0,3,0,"""Firmicutes""",0.933333333,FALSE,0,"""ASV497""",0,0.7
2.371428571,0,0.421686747,1,2,4,"""Lachnospiraceae""",FALSE,ASV57,16.5,0,2,0,"""Firmicutes""",0.934693878,FALSE,0,"""ASV57""",0,0.75
2.8,0,0.357142857,0,1,5,"""Lachnospiraceae""",FALSE,ASV59,11,0,1,0,"""Firmicutes""",0.914285714,FALSE,0,"""ASV59""",0,0
2.028571429,0.004547152,0.492957746,0.8,6,4,"""Erysipelotrichaceae""",FALSE,ASV675,13.33333333,0,6,0,"""Firmicutes""",0.951020408,FALSE,0,"""ASV675""",30,0.459770115
1.828571429,0.069997454,0.546875,0.6,11,4,"""Lachnospiraceae""",FALSE,ASV79,12.18181818,0,11,0,"""Firmicutes""",0.960544218,FALSE,0,"""ASV79""",282,0.403030303
2.342857143,4.20E-04,0.426829268,0.666666667,3,4,"""Ruminococcaceae""",FALSE,ASV823,12.66666667,0,3,0,"""Firmicutes""",0.936054422,FALSE,0,"""ASV823""",2,0.575757576
