ASVs	treatment	node	degree	Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV97	CON	3	3	a01df12ff649c57e98e202f2e9b3a6b8	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1
ASV107	CON	4	2	94b871bb353c6998320a525afbd8121d	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999988
ASV125	CON	4	1	32841cdd2fd93d81b214ab3b35601bea	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 s__celatum	0.8636488
ASV128	CON	4	2	a76218164da97820e49b4d41bd74dcbf	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999988
ASV138	CON	4	2	afb60c2345950cf814db46d2cc621508	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999926
ASV163	CON	4	1	e9bc8cab952cad4983b75ac2541cce6a	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999976
ASV273	CON	4	1	032d4bdea41b55aa455224f44e9e2699	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__stercorea	0.9999999
ASV35	CON	4	1	9c8c867dbea7959e3cf3fcda5b499fb9	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999971
ASV439	CON	4	1	4955b50a592f9096063c4a94c5570ba0	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	 g__Turicibacter	0.9999986
ASV52	CON	4	1	c292ba21dbecf77455dd635be6879807	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	 g__Phascolarctobacterium	0.999999
ASV85	CON	4	1	1b7966c00916f61abe6acbd9e867229e	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999993
ASV99	CON	4	1	afadf7be042d3d846361f162501eb744	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999994
ASV998	CON	4	1	23521241f211fa3c13c355eaad43c5ef	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9932319
ASV163	SCFP	1	1	e9bc8cab952cad4983b75ac2541cce6a	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999976
ASV279	SCFP	1	4	1e3c0855907e39d0df0558e70fc00a7e	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9508868
ASV35	SCFP	1	3	9c8c867dbea7959e3cf3fcda5b499fb9	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999971
ASV360	SCFP	1	3	c573835fb735ceb9b144d388285b690b	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.7688874
ASV371	SCFP	1	5	4098f6ec446ea549b395f585a2f63140	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.999196
ASV1	SCFP	2	7	2e58ed208e328a041a05626fd1502922	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999
ASV1029	SCFP	2	1	95717c807e172bcc9248c22ff35dc186	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9360934
ASV105	SCFP	2	7	15b1a6ab5fddc23f12731366dc06f48c	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1
ASV1056	SCFP	2	1	3d29f11ac510920d46d2371e949b437c	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8439675
ASV126	SCFP	2	1	40f4a5a53735e22255b3920a3840e86f	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9999998
ASV129	SCFP	2	1	07e08c8dbc4add0b731bc253d51bf6d7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8896536
ASV146	SCFP	2	2	2cef5f3a31ede1c988a2c0024555d514	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9853736
ASV150	SCFP	2	5	44b9a3e35065458d6679da83aeab719b	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9983939
ASV162	SCFP	2	3	c4595453a1a8dbe455720c47a37f5a72	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	 g__Parabacteroides	0.9999998
ASV204	SCFP	2	4	d438a22a158a741667ebcc783a86ce39	Tenericutes	RF3	ML615J-28	 o__ML615J-28	 o__ML615J-28	 o__ML615J-28	0.9995573
ASV21	SCFP	2	15	aae27ae0922499a5308913b0474d7669	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999
ASV241	SCFP	2	6	304f102ac5113bfc89afad60df32b3f4	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9979462
ASV263	SCFP	2	1	a584dd2f4af76c1823192f3c676177b1	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999115
ASV278	SCFP	2	1	66c46e0af0d102307b089bd25ebb1c20	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9450582
ASV327	SCFP	2	12	4d51270f528334f614a88b22fe2a696f	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999697
ASV33	SCFP	2	11	6147ab4145c405d9965be8701f6c7255	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1
ASV387	SCFP	2	3	bdf89027be7752e68b345d9210886205	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 g__Clostridium	0.9779626
ASV413	SCFP	2	4	18f7e45a06edd532cc94fd2777370450	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9915575
ASV477	SCFP	2	3	7f15a98e346c0149c8a18840f4b78d6f	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.996147
ASV52	SCFP	2	1	c292ba21dbecf77455dd635be6879807	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	 g__Phascolarctobacterium	0.999999
ASV567	SCFP	2	11	a386b0b9faedb5556e307d9de701047b	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.950454
ASV588	SCFP	2	1	67e6049b7e55be7d11d7aa61e919203c	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	 f__Peptostreptococcaceae	 f__Peptostreptococcaceae	0.9958418
ASV606	SCFP	2	1	7ad21dc88bbd0b522ad23562c5b99051	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.73282
ASV62	SCFP	2	14	0095a30bc8902882a96c904c598be3dc	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1
ASV63	SCFP	2	15	58975903ce9f4b74b444a9cc65c2470d	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9981132
ASV652	SCFP	2	8	a24599372e0826b3db30cf93db11d435	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9731162
ASV688	SCFP	2	8	9c762f5665e85e1d05bc931a6aa50708	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	 g__Anaeroplasma	0.9999834
ASV69	SCFP	2	5	93d7014dad98bbcfb505f95914d86994	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999976
ASV698	SCFP	2	8	7b4650879ae4581bf0e1cd8915f966f3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9765693
ASV703	SCFP	2	1	c3d4e3dd52b695d37a57cb89902cdd2b	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9616418
ASV720	SCFP	2	3	5a3dc0abe397b10df9a6988fb5db023b	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9998716
ASV752	SCFP	2	1	f6c05f02b361812cbafaa1fd95927195	Proteobacteria	Alphaproteobacteria	RF32	 o__RF32	 o__RF32	 o__RF32	1
