AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,FamilyVar1,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,PhylumVar1,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
2.206185567,5.01E-04,0.453271028,0.666666667,7,3,"""Prevotellaceae""",FALSE,"""ASV1""",25.28571429,0,7,0,"""Bacteroidetes""",0.982261977,FALSE,0,"""ASV1""",30,0.36122449
3.226804124,0,0.309904153,0,1,5,""" o__Clostridiales""",FALSE,"""ASV1029""",12,0,1,0,"""Firmicutes""",0.967252881,FALSE,0,"""ASV1029""",0,0
2.144329897,9.10E-04,0.466346154,0.904761905,7,3,"""Paraprevotellaceae""",FALSE,"""ASV105""",31.71428571,0,7,0,"""Bacteroidetes""",0.983171619,FALSE,0,"""ASV105""",152,0.417293233
3.041237113,0,0.328813559,0,1,5,"""Lachnospiraceae""",FALSE,"""ASV1056""",14,0,1,0,"""Firmicutes""",0.969981807,FALSE,0,"""ASV1056""",0,0
1.927835052,0.040531494,0.518716578,0.428571429,22,4,""" o__Clostridiales""",FALSE,"""ASV110""",19.77272727,0,22,0,"""Firmicutes""",0.986355367,FALSE,0,"""ASV110""",1902,0.240576497
2.237113402,0.033062892,0.447004608,0.424242424,12,4,"""S24-7""",FALSE,"""ASV114""",13.41666667,0,12,0,"""Bacteroidetes""",0.981807156,FALSE,0,"""ASV114""",1568,0.211640212
2.845360825,0,0.351449275,0,1,5,"""Ruminococcaceae""",FALSE,"""ASV119""",26,0,1,0,"""Firmicutes""",0.972862341,FALSE,0,"""ASV119""",0,0
3.896907216,0,0.256613757,0,1,5,"""Paraprevotellaceae""",FALSE,"""ASV126""",3,0,1,0,"""Bacteroidetes""",0.957398423,FALSE,0,"""ASV126""",0,0
2.93814433,0,0.340350877,0,1,4,"""Lachnospiraceae""",FALSE,"""ASV129""",21,0,1,0,"""Firmicutes""",0.971497878,FALSE,0,"""ASV129""",0,0
1.319587629,0.309727376,0.7578125,0.163301141,68,3,"""Ruminococcaceae""",FALSE,"""ASV13""",12.86764706,0,68,0,"""Firmicutes""",0.995300182,FALSE,0,"""ASV13""",9136,0.136733417
2.18556701,0.021243391,0.45754717,0.4,5,4,"""Ruminococcaceae""",FALSE,"""ASV142""",36,0,5,0,"""Firmicutes""",0.982565191,FALSE,0,"""ASV142""",622,0.483783784
2.257731959,0,0.442922374,1,2,4,""" o__Clostridiales""",FALSE,"""ASV146""",45,0,2,0,"""Firmicutes""",0.981503942,FALSE,0,"""ASV146""",0,0.625
2.639175258,0,0.37890625,1,5,5,""" o__Clostridiales""",FALSE,"""ASV150""",23,0,5,0,"""Firmicutes""",0.975894482,FALSE,0,"""ASV150""",0,0.56097561
2.195876289,5.32E-04,0.455399061,0.666666667,3,3,""" o__Clostridiales""",FALSE,"""ASV151""",44,0,3,0,"""Firmicutes""",0.982413584,FALSE,0,"""ASV151""",84,0.586666667
2.917525773,0,0.342756184,0,1,5,"""S24-7""",FALSE,"""ASV158""",22,0,1,0,"""Bacteroidetes""",0.971801092,FALSE,0,"""ASV158""",0,0
2.907216495,0.020618557,0.343971631,0.333333333,3,4,"""Porphyromonadaceae""",FALSE,"""ASV162""",9.333333333,0,3,0,"""Bacteroidetes""",0.971952699,FALSE,0,"""ASV162""",710,0.473684211
2.237113402,0,0.447004608,1,3,4,"""Ruminococcaceae""",FALSE,"""ASV170""",38.66666667,0,3,0,"""Firmicutes""",0.981807156,FALSE,0,"""ASV170""",0,0.529680365
1.865979381,0.011996414,0.535911602,0.485507246,24,3,""" o__Clostridiales""",FALSE,"""ASV171""",22.875,0,24,0,"""Firmicutes""",0.987265009,FALSE,0,"""ASV171""",746,0.265988372
2.144329897,8.13E-05,0.466346154,0.944444444,9,4,"""Lachnospiraceae""",FALSE,"""ASV177""",33.11111111,0,9,0,"""Firmicutes""",0.983171619,FALSE,0,"""ASV177""",12,0.435672515
1.917525773,0.027902092,0.521505376,0.552380952,21,4,"""Ruminococcaceae""",FALSE,"""ASV178""",23.38095238,0,21,0,"""Firmicutes""",0.986506974,FALSE,0,"""ASV178""",1324,0.277777778
2.628865979,3.58E-05,0.380392157,0.833333333,4,4,""" o__ML615J-28""",FALSE,"""ASV204""",18.5,0,4,0,"""Tenericutes""",0.976046089,FALSE,0,"""ASV204""",2,0.474358974
1.896907216,0.035404945,0.527173913,0.418803419,27,4,"""S24-7""",FALSE,"""ASV207""",18.85185185,0,27,0,"""Bacteroidetes""",0.986810188,FALSE,0,"""ASV207""",1822,0.232281664
2.010309278,0.034252188,0.497435897,0.438095238,15,3,"""Prevotellaceae""",FALSE,"""ASV21""",18.8,0,15,0,"""Bacteroidetes""",0.985142511,FALSE,0,"""ASV21""",1298,0.232098765
2.072164948,8.44E-04,0.482587065,0.822222222,10,4,""" o__Bacteroidales""",FALSE,"""ASV212""",31,0,10,0,"""Bacteroidetes""",0.984232868,FALSE,0,"""ASV212""",90,0.382716049
1.948453608,0.046008574,0.513227513,0.342857143,21,3,"""Lachnospiraceae""",FALSE,"""ASV216""",18.38095238,0,21,0,"""Firmicutes""",0.986052153,FALSE,0,"""ASV216""",2254,0.231464738
2.12371134,5.50E-04,0.470873786,0.785714286,8,4,"""Ruminococcaceae""",FALSE,"""ASV218""",34.625,0,8,0,"""Firmicutes""",0.983474833,FALSE,0,"""ASV218""",56,0.443910256
2.484536082,0,0.402489627,0,1,4,""" o__Clostridiales""",FALSE,"""ASV222""",52,0,1,0,"""Firmicutes""",0.978168587,FALSE,0,"""ASV222""",0,0
1.93814433,0.01241044,0.515957447,0.521052632,20,4,"""Lachnospiraceae""",FALSE,"""ASV228""",23.7,0,20,0,"""Firmicutes""",0.98620376,FALSE,0,"""ASV228""",876,0.282142857
2.690721649,3.57E-04,0.37164751,0,3,4,"""Ruminococcaceae""",FALSE,"""ASV238""",17,0,3,0,"""Firmicutes""",0.975136446,FALSE,0,"""ASV238""",22,0.484848485
2.175257732,2.95E-04,0.45971564,0.733333333,6,4,""" o__Clostridiales""",FALSE,"""ASV241""",37.5,0,6,0,"""Firmicutes""",0.982716798,FALSE,0,"""ASV241""",24,0.5
2.113402062,2.78E-04,0.473170732,0.821428571,8,3,"""Paraprevotellaceae""",FALSE,"""ASV249""",33.625,0,8,0,"""Bacteroidetes""",0.98362644,FALSE,0,"""ASV249""",28,0.431089744
2.886597938,0,0.346428571,0,1,5,""" o__Clostridiales""",FALSE,"""ASV263""",27,0,1,0,"""Firmicutes""",0.972255913,FALSE,0,"""ASV263""",0,0
2.443298969,0,0.4092827,1,2,4,""" o__Clostridiales""",FALSE,"""ASV266""",36.5,0,2,0,"""Firmicutes""",0.978775015,FALSE,0,"""ASV266""",0,0.663636364
2.309278351,0,0.433035714,0,1,4,"""Lachnospiraceae""",FALSE,"""ASV278""",68,0,1,0,"""Firmicutes""",0.980745907,FALSE,0,"""ASV278""",0,0
1.731958763,0.055509117,0.577380952,0.324324324,37,4,"""Lachnospiraceae""",FALSE,"""ASV288""",17.64864865,0,37,0,"""Firmicutes""",0.989235901,FALSE,0,"""ASV288""",2308,0.204902577
1.979381443,0.002222608,0.505208333,0.727941176,17,4,""" o__Clostridiales""",FALSE,"""ASV290""",27.82352941,0,17,0,"""Firmicutes""",0.985597332,FALSE,0,"""ASV290""",204,0.335223246
2.319587629,0.001711513,0.431111111,0.533333333,6,4,""" o__Clostridiales""",FALSE,"""ASV297""",20.66666667,0,6,0,"""Firmicutes""",0.9805943,FALSE,0,"""ASV297""",84,0.333333333
2.144329897,7.63E-04,0.466346154,0.688888889,10,4,"""Paraprevotellaceae""",FALSE,"""ASV30""",27.4,0,10,0,"""Bacteroidetes""",0.983171619,FALSE,0,"""ASV30""",46,0.37027027
2.154639175,0.002332862,0.464114833,0.533333333,10,3,"""Lachnospiraceae""",FALSE,"""ASV306""",25.1,0,10,0,"""Firmicutes""",0.983020012,FALSE,0,"""ASV306""",100,0.348611111
1.958762887,0.015312797,0.510526316,0.549707602,19,4,"""Lachnospiraceae""",FALSE,"""ASV308""",23.31578947,0,19,0,"""Firmicutes""",0.985900546,FALSE,0,"""ASV308""",1242,0.280913126
