Phylum	Class	Order	Family	Genus	Species	Confidence	ASVs
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999	2e58ed208e328a041a05626fd1502922
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	 f__Enterobacteriaceae	 f__Enterobacteriaceae	1	973ffbd4e3128eca6423210fda77fa2c
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__coprophilus	0.9999999	b57a954469bc8b944515c31775df8842
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	 g__Bifidobacterium	0.9995489	a09b58bd8ec236962ee2551cae46d046
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	1	2a02056bb1ab0a1fc8e6526f94fc5d38
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999643	8e069a1768e65fc66c625a81d098896d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9977116	5434e5bbb561525bdbb806d49dcfe6fd
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	 g__Methanosphaera	0.9999997	f7693fa078df727c4e2568797b4e26a3
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9988047	cd052ea117eaee088711fa892ce6b94a
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	 s__aerofaciens	0.9812635	0eb0daf4087d74b006f50a5a06899085
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999994	3ff5fb0a07713beb3a88212fefe53231
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__fragilis	0.9984121	fb11d428bba1d909f2c48d4e70983933
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9987203	c0a4573d567ff3145a43d284b8c43627
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	 f__Prevotellaceae	 f__Prevotellaceae	0.8646935	41fd0e1ad54104ef5709586664d87233
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9999954	d6623ae2bd9d88ce158b0dc9a2037e8c
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 g__Streptococcus	1	ea5f622fc386a7576b0e1194db2ecf98
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 s__luteciae	0.9601606	b43e1d89682a8111fbb01b17c4bbafe7
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999997	9efd803e917e5a045ed1bf773266635f
Bacteroidetes	Bacteroidia	Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	0.9977891	ef49b2704fae00a1f73378b7f05de69a
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	 s__pullicaecorum	0.9999889	badbfd2b58467ef60bc1d748035097b8
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999	aae27ae0922499a5308913b0474d7669
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	6c9f50c8ad4b5f92a89285755962bd24
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 s__producta	0.9969083	29a02d7706085b2043d6ef307ed0fe6a
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9999998	dc5f4d5605daefa33876792e99545e4f
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999971	79167a6daaa2d7bd1806085108fd9fb5
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999764	62aac79c6294f5e2cfb652b6044bd89f
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	 s__prausnitzii	0.9964851	32ef2c891d8942b56171c062f6213dad
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9999991	ffd9a2cc9e7f9a800e0eebdf1cc469cf
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999995	e6d606ed1147307c859dee51205c2f01
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	3c35f189d17f4235d5a85a91c2a6006c
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9999615	a9f80dc5b97921074d4d246ae398bde3
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9999668	de465877dc651a154f71a1a2fc396e69
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1	6147ab4145c405d9965be8701f6c7255
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	 s__prausnitzii	0.9999235	0a655a50de8390eff9a92f2f49079d6e
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999971	9c8c867dbea7959e3cf3fcda5b499fb9
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999878	d1a361d0f589e8ba961c40b06d8e46a2
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999975	1b1280793f51b052585c546e762effdc
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9781605	63ecd15586dfde9e3e671c12d838b76d
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9895741	71726152366e62dac300b297cfeceb01
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	 s__pseudolongum	0.8040504	766cb4f5e3ca92d7f98140844696990e
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9586258	a0dfdf1015b501d52d8bbf0a98a958bf
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	 s__variabile	0.858943	a4adc2874da0a0f68b5b3f1c2737e835
Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	 g__Veillonella	0.9998614	01cb89d55d38d2159eac159d1c794590
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	1	b485c89d6bfe5add847faa82e7c79a8d
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	 g__Enterococcus	0.8523963	86a54c84e36e2bd8257b11915c0be207
Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	 g__Odoribacter	1	d5dd96b43b0e116abf5545ba66b0da50
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	 g__Parabacteroides	0.9999998	e184e1348ac071996a237af4fb3193e3
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	 s__muciniphila	1	5bda8a3aab2bdd1a04acd5c052a3d2da
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	CF231	 g__CF231	0.9999964	05d07ba6dff783fc690247fac1d24742
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999994	3bd1ec91aff716bc10028ab86961e2c4
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	 f__Rikenellaceae	 f__Rikenellaceae	0.9979956	09532dd01a30cc775f5c1a67b7127b30
Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	 g__Phascolarctobacterium	0.999999	c292ba21dbecf77455dd635be6879807
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9967186	41f60cd0f74cc37bfe32096af9624258
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.986517	7354980b468b4c6546d3c7ad2f204675
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999991	47b6da4c37d6807e40aac63247235505
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 s__salivarius	0.9111469	3db6389c467d7cb761260fcb16b6b8b4
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	 s__gnavus	0.9998716	8d2cc47324312aebc17be24aa6056a66
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9944863	e24c5a000ae34541a243675d8f666f21
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9927991	78c5414395542387492c7444da5180f1
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9936203	11090736ffa8fedc5f8b2d6c439d1812
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9128028	3be669c79b71499434e9ff16f6d304ab
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1	0095a30bc8902882a96c904c598be3dc
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9981132	58975903ce9f4b74b444a9cc65c2470d
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	 s__umbonata	0.9994645	b0bd67b5ef4f7a8794911b78f29d133a
Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	 g__Treponema	0.9999729	028e626cb7b019d7d766932a22d8e47d
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	b0020c6dff552e3310b5d48d31ca7e6d
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__uniformis	0.9965275	6133a0b1b9125b31139c043ecf409802
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	 s__muciniphila	1	bc8d0255550cd1f1c00934aaa5476444
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999976	93d7014dad98bbcfb505f95914d86994
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9995284	bc212a9688de7d64cbe1c161c78fde4c
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.999966	b902f48fecde65e1f03d74c6baa1278d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 s__callidus	0.9761273	e7c36df2cf7716b681eb450d9c05987b
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999999	7aab75ed5457c43539616871b031a845
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	 f__Rikenellaceae	 f__Rikenellaceae	0.9915489	a74184e28bf27a183ba25ca81e86f675
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	 g__Butyrivibrio	0.9988233	86ebc01b45d191339922568e95b27b54
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9989208	fa494ef57c8cd87649129544e19b250d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9988171	0566b72315774428de7bac9de22c09ff
Bacteroidetes	Bacteroidia	Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	0.999757	a78cb73086e95565bfb1dae49d396704
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9988101	61dc3200b9d0a4f3f137756143c29d38
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9999997	ef867958fa3c2fb14440326e2d91ff11
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 s__perfringens	0.9998817	d49f718846a6adf771b045a3b4a49468
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9999999	f5292fe26590e33a92d06a43e6d3ac08
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	 s__cecorum	0.9977502	a1a90373f6999da2897b7bb008e5cbc8
Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	 g__Treponema	0.9993944	b0f067d06a30b99b1ef844a60bba3744
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999993	1b7966c00916f61abe6acbd9e867229e
Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	 g__Treponema	0.9999993	7ca558c9317dc6427961697394567724
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9979502	71a8bff6232f25769e243df68c33379c
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__stercorea	1	282add8340239704be44a082a3ec5372
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9955213	3ed8119a771c52c14ae6d180db4c9097
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9999989	c8344cb48fa5d24cb37c3b757e00daeb
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9927	44daa55f2a250900410552f921fd0a85
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.7828148	a2a264cfa34b61030b09d3e6c8f66b3e
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	fbd265728da7bd17484b48980ee5167d
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999991	31ea2fbd6325284be1e9df24630af46b
Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	 g__Megasphaera	1	acd4f629a981514c35087f2ee1cd8ea2
Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	 g__Fibrobacter	1	dcafb3a0affeab2bcd31b397281263dc
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1	a01df12ff649c57e98e202f2e9b3a6b8
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9974584	1e207bdb6fa99565ef33ea32a58d06ec
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999994	afadf7be042d3d846361f162501eb744
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9995531	921d37d118d20869acb71faf26ee8b7b
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9012877	161a7d2fd8967ce309e80c8ba2b50465
Bacteroidetes	Bacteroidia	Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	0.9809585	017149e048a3aa8351a67498d5ae5f3c
Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	 g__Sutterella	0.9999977	2b0fbae3ae0960121298f5e9ccf0eab8
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	 g__Enterococcus	0.7645096	090871727cc5ea0d57601af01f3e2783
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1	15b1a6ab5fddc23f12731366dc06f48c
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9269445	ab974875ade7d272f72fc67f5098e33f
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999988	94b871bb353c6998320a525afbd8121d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9938143	10f66ce9a703b3f4b53149e6ce86d481
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__uniformis	0.999766	ab45b00686bf3b09b0583815010a7fc7
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9998055	0ce8b55560130da14065dbac4663b005
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9998757	7d2a42083afed962665c35e60cab60ed
Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	 g__Peptostreptococcus	0.9994544	bc9a411a2470825bb3d2ed862504e8ce
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9877705	32a35e761cd022c77530293cd287b846
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	1	08bb8a3f5526891084c1dabd0db45b5e
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9999867	0c1f6c7a2236561f7bc4ac1f3830afb5
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.7566246	42543150b5a8d320b29d9bac3a74538d
Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio	 g__Succinivibrio	1	5b1c75b89a721b4ac3f43a22cfe2f3e4
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9874818	41437bbaa835a22d28be7bc0bf9f4ab3
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7684135	ceec72c709466d7039656989e5768bd9
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__uniformis	0.9997531	fa80e1d3ccc4e20e29542b26176abbd7
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9174323	5f4e82d2733ed18b0d2d522c0e25c9bb
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9963384	95a78423f0005816ab735330b6c2c52f
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999801	482952f7e2542a77a9bb9d1fdcad5025
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9994415	125eed473d88c1dcf80882c4497355c1
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 s__celatum	0.8636488	32841cdd2fd93d81b214ab3b35601bea
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9999998	40f4a5a53735e22255b3920a3840e86f
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	 g__Campylobacter	0.9994943	5ae83202ad1565fa202bbd868f1315f2
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999988	a76218164da97820e49b4d41bd74dcbf
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8896536	07e08c8dbc4add0b731bc253d51bf6d7
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.7220976	1cc5c83b8079ebe4c9df58460b6327ec
Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	 g__Odoribacter	1	4d157989a7ef807bf441722cdd313fdb
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	 f__Bifidobacteriaceae	 f__Bifidobacteriaceae	0.9919134	4feed18fadfdef2693b6a411619a1a08
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.8593319	3ce972c4865c68a15ca4b8f3a43be7b2
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999307	db7345a325d1bad494c36c3566afd7b1
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9971709	6ea95a2c64208caf90a765a07c73700f
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	 s__butyricum	0.9999935	2f57752525bbc0a77cb64ae4d7eb1829
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	 s__hyovaginalis	0.9949622	d92e3a053fae02b521c00955a8d5e1a0
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999926	afb60c2345950cf814db46d2cc621508
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__ovatus	0.9920289	42aa10420d8ffc54ef151c43fe89cdea
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9836068	1baae3746ff404bdf0ffcb5792bb6529
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.999995	2c7f7c94f20bc8efddf13088cb5cded3
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9989536	640fd03ad1e907702d06ae02f3c657e0
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999998	3390f7d83b7e8351a747776415ed1a48
Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	1	2eba747e93d02d1325a28a7d0e2e77f4
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8124291	c3a11a54490025206ef21001cbadb86b
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9853736	2cef5f3a31ede1c988a2c0024555d514
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	 s__prausnitzii	0.9978675	ef0728dfac3b4680c4b0c0b200e053b5
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	 f__Enterobacteriaceae	 f__Enterobacteriaceae	0.9999988	6d39206fc2e762974d45340f4cc11092
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9981356	8446175d4888bdac9d01e654cf04fb6d
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9983939	44b9a3e35065458d6679da83aeab719b
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9980254	f885585d26e8334c2236e4dac11c1ff0
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9816392	47504daed5bdb48a5f5163c2584dab90
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9974608	e2f6fcd152db84aa9fe965b31c8a7695
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Gallibacterium	 g__Gallibacterium	0.9982216	f29d5c7cf64eddf9316a9633e7b0a5c2
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	 g__Bifidobacterium	0.9134548	9f275603ef5bd0ad2ce76f9827f916a1
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9999994	f90a1da3b8848c5f9ef67b73d4edf4dd
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999975	7bb385a36dc5c3c2e913f5c6fa70e4aa
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	1	04f2c61f429661853bd9b77629b49225
Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	 f__Mogibacteriaceae	 f__Mogibacteriaceae	0.9999943	739c8e83673e7942023d895b9b58caae
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 g__Streptococcus	0.9993283	1cc91ee11c19c3b232f261d52226b90e
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999955	5cbc4d4286e17e0439e52165e6572fab
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	 g__Parabacteroides	0.9999998	c4595453a1a8dbe455720c47a37f5a72
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999976	e9bc8cab952cad4983b75ac2541cce6a
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 s__producta	0.9998064	0910dd33c3350ffe9084dfa4dc9c57e7
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9786244	8e009bdceba87d9747a0c83976c8a65d
Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	 s__ramosum	0.9899623	f52fe4f0af7d55b939087592e98e9bef
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9979345	4b0fe6b1ec7caf6b644dd5ff08a03fbb
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999773	f25b81209781d524d1a9e53d5e9824d9
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.998197	b1b0a22b768d69a23b9eea7df1bcc360
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.748155	98a7a33507e9c4103aae20df8d1b8f8f
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9928519	6100fd89601b8c5988350fd5856a5ac2
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9281064	cb1bcee28d40f970f0e5156156ada162
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999972	29a1800e7a6ea245a83160c8aeaa1260
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9999791	986c04b45216d746c25a89bedcb7d9e5
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999979	169c3fdc20f9d0b6307c44b7d1a98dc1
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9684297	dd8933d73b392841baa78d16b4a6056c
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9989216	2cc746cafac2f58e72dbe692968a729a
