Phylum	Class	Order	Family	Genus	Species	Confidence	ASVs
Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	 f__Desulfovibrionaceae	 f__Desulfovibrionaceae	0.9993757	929e574ea4857540d7accf71c682686b
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9992445	8febeacdcdb96f20d68dbe82144761e3
k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	0.9999936	264c6ad92ae709d33311540001adb3a2
Bacteroidetes	Bacteroidia	Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	0.9981745	10845d9f45cf1ea4b70533e6fa3520d7
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.7997729	feedb0916616a93596e7b25d47be00c6
Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	 f__Erysipelotrichaceae	 f__Erysipelotrichaceae	0.7080922	4f37017916ef753d752487e8fc02e0f1
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9897129	48da09b608e200eee0d511df0357251a
Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	Mogibacterium	 g__Mogibacterium	0.9814421	0866dbefdf13f583423265f163fdeacd
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9793368	7bbca8b3ff9ccbfa0f25603fb230ff13
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	 f__Pseudomonadaceae	 f__Pseudomonadaceae	0.9992869	7d15ee6138cd368987bfd22c57f24bb3
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9866534	90a41a781aabe462bad495c6009b6866
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	 s__formicilis	0.8626819	338bd5afa7b8d8c9d42813baf0a8cdcf
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	 s__muciniphila	1	0acffafa2b4b600905abd3e2cf57dfe3
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	 g__Butyrivibrio	0.9765161	429db06e2bd3fb70980e5626e0c408c6
Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ab1a2fa74f05244431967b9667d548db
Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	0.9999951	17dcfd87d6e60903bb661d1f0e6e76dd
