	10_d56	11_d56	12_d56	13_d56	14_d56	15_d56	16_d56	17_d56	18_d56	19_d56	2_d56	20_d56	21_d56	23_d56	24_d56	26_d56	27_d56	28_d56	29_d56	3_d56	30_d56	4_d56	5_d56	6_d56	61_d56	62_d56	64_d56	65_d56	66_d56	67_d56	68_d56	7_d56	70_d56	71_d56	72_d56	73_d56	74_d56	75_d56	76_d56	77_d56	78_d56	79_d56	8_d56	80_d56	81_d56	82_d56	83_d56	84_d56	85_d56	86_d56	88_d56	89_d56	9_d56	90_d56
X78_d56	0.28782407	0.137196618	0.100861369	0.159790874	0.149868398	0.211672627	0.143905608	0.473720101	0.206630934	0.299620191	0.169585012	0.192571522	0.18138146	0.11482218	0.195859421	0.178258763	0.23776043	0.206984142	0.176369844	0.211457563	0.208052928	0.199394965	0.249133058	0.147716857	0.293312407	0.299397485	0.331391655	0.152976549	0.322781083	0.222662001	0.166272568	0.272510481	0.400947926	0.22400268	0.212339431	0.52360111	0.342909326	0.411239083	0.261973286	0.193643135	0	0.245931879	0.191175719	0.315047494	0.265680236	0.22889194	0.265912723	0.236975729	0.298849217	0.573139096	0.355067124	0.170426134	0.177548126	0.374267488
X79_d56	0.264773482	0.258601735	0.279802444	0.184115476	0.215504426	0.167720684	0.210292536	0.445866029	0.199131705	0.184128955	0.193891621	0.172946667	0.188794123	0.246149216	0.169280185	0.181709439	0.153392655	0.206990415	0.243641195	0.171723884	0.208949174	0.183511839	0.200491001	0.219535919	0.172730926	0.14118886	0.253971132	0.285081305	0.240576116	0.185897123	0.245449289	0.156690225	0.228944388	0.142258428	0.179916591	0.485914517	0.190866296	0.268065056	0.218148881	0.201357543	0.245931879	0	0.169642965	0.134418108	0.126146391	0.189592859	0.108637313	0.158400224	0.169802666	0.41684166	0.164417322	0.219114533	0.191214555	0.20821583
X8_d56	0.257660955	0.15262933	0.20583363	0.147946257	0.157532321	0.120528938	0.128075596	0.428749845	0.120643693	0.186206034	0.160758856	0.14065546	0.149314747	0.204191541	0.103212251	0.125336901	0.123402721	0.120888108	0.192128773	0.098516875	0.144079928	0.127316961	0.163004792	0.112833208	0.166556347	0.18637602	0.265658383	0.22537892	0.226081634	0.136556422	0.19420282	0.158857938	0.283695854	0.121269774	0.178172703	0.467346924	0.221343076	0.29978178	0.204262664	0.160304556	0.191175719	0.169642965	0	0.212053332	0.157428136	0.171778804	0.153114326	0.147748285	0.205155377	0.460074661	0.227480546	0.163146376	0.13904114	0.257479428
X80_d56	0.240031379	0.294146416	0.331311207	0.2562835	0.250767557	0.223754252	0.262954646	0.485344394	0.256555494	0.20080596	0.232582177	0.21178325	0.201306162	0.31215254	0.20326434	0.241913634	0.20642557	0.205741692	0.312967492	0.192687642	0.241605939	0.221489763	0.229571342	0.248298929	0.158033125	0.111861507	0.316053596	0.331821171	0.28076295	0.203325149	0.27144182	0.170478054	0.212743447	0.156510231	0.201734067	0.5066716	0.150263198	0.245314014	0.247732522	0.272039482	0.315047494	0.134418108	0.212053332	0	0.157501575	0.208930863	0.130401087	0.171920801	0.172139868	0.408802787	0.152541664	0.248619107	0.238461932	0.168930447
X81_d56	0.235111443	0.244639072	0.28378145	0.189869596	0.225676789	0.1610932	0.217063196	0.42266447	0.188592957	0.155953276	0.184954566	0.176016818	0.191122499	0.259721415	0.139092078	0.204813287	0.149623446	0.166314337	0.267393223	0.145867863	0.176425043	0.173865101	0.140543017	0.198001855	0.135904693	0.133360273	0.230007742	0.284290479	0.219417641	0.1437055	0.230912533	0.141612152	0.211492173	0.12582072	0.164490606	0.442123483	0.179779281	0.227355771	0.181536968	0.219814689	0.265680236	0.126146391	0.157428136	0.157501575	0	0.15689683	0.106630959	0.158790404	0.200057526	0.393109479	0.173225734	0.21885959	0.168060686	0.186401266
X82_d56	0.225633208	0.215110462	0.24535625	0.167838408	0.177102937	0.14569472	0.18216865	0.420122759	0.18671486	0.227814616	0.17384553	0.157363492	0.14425104	0.242846907	0.151959816	0.157397635	0.17358232	0.189425123	0.219190389	0.174654195	0.161941303	0.164915805	0.163527887	0.169502017	0.159598558	0.195959969	0.244165639	0.242152756	0.234933482	0.163700796	0.203157224	0.185221453	0.264164853	0.163298837	0.125533762	0.438977857	0.235368294	0.306307829	0.197996184	0.175301927	0.22889194	0.189592859	0.171778804	0.208930863	0.15689683	0	0.186796468	0.16733377	0.2461135	0.441697497	0.254067144	0.191756588	0.163145622	0.263647362
X83_d56	0.24226237	0.231421688	0.280182854	0.206131019	0.225275229	0.163881539	0.2158408	0.440359893	0.197545557	0.152703914	0.186468556	0.16266651	0.184761835	0.264940771	0.149289704	0.198699737	0.163252608	0.150806946	0.268406234	0.13229846	0.177963801	0.16041011	0.165180912	0.196876619	0.147157004	0.116995087	0.25578501	0.288283548	0.237310014	0.153190663	0.236744331	0.137701368	0.21511343	0.109411877	0.165674397	0.463142041	0.144500799	0.233416529	0.203573602	0.221021837	0.265912723	0.108637313	0.153114326	0.130401087	0.106630959	0.186796468	0	0.147726056	0.145386841	0.394057472	0.146455624	0.200525286	0.174169054	0.172454171
X84_d56	0.226081669	0.212627646	0.249725025	0.163489795	0.180527541	0.175475621	0.174457663	0.446994057	0.178783277	0.235090008	0.18399567	0.151990647	0.138690218	0.233463161	0.128151614	0.176264128	0.134911746	0.160809984	0.239064022	0.146480172	0.16864728	0.162730575	0.177666987	0.169301414	0.155763419	0.195799132	0.266705971	0.255500022	0.230922016	0.167901359	0.202350769	0.200387793	0.272289651	0.115889251	0.133203159	0.484310903	0.209445345	0.316886417	0.196889242	0.195627218	0.236975729	0.158400224	0.147748285	0.171920801	0.158790404	0.16733377	0.147726056	0	0.180274815	0.475933415	0.226222876	0.17547101	0.173925466	0.24886877
X85_d56	0.261616321	0.274181544	0.306539354	0.250571253	0.261427496	0.239729382	0.250209572	0.481612835	0.259289782	0.235285295	0.264800525	0.228302961	0.216594962	0.309139108	0.200215393	0.240051322	0.205790484	0.200939769	0.298626629	0.18486034	0.255360055	0.232379556	0.250482097	0.243587235	0.166280268	0.19834164	0.328066007	0.326430244	0.294060505	0.20662454	0.294169057	0.204961526	0.257765703	0.165863619	0.212198937	0.509732018	0.19189283	0.303857662	0.271215662	0.265330804	0.298849217	0.169802666	0.205155377	0.172139868	0.200057526	0.2461135	0.145386841	0.180274815	0	0.448184726	0.215339995	0.24927383	0.247542701	0.251418675
X86_d56	0.484417523	0.529940624	0.580254468	0.498027074	0.537356434	0.437353841	0.509652077	0.393541821	0.507907063	0.359212754	0.481180452	0.475163079	0.485778124	0.563741632	0.446606609	0.465788978	0.45213438	0.435824711	0.553233633	0.43820792	0.469176055	0.455952138	0.395201556	0.483590872	0.420180977	0.357441676	0.439948651	0.564411434	0.401049739	0.455455473	0.563725919	0.380733523	0.28763633	0.444055491	0.4870381	0.391551338	0.349089628	0.231114675	0.438095711	0.46586566	0.573139096	0.41684166	0.460074661	0.408802787	0.393109479	0.441697497	0.394057472	0.475933415	0.448184726	0	0.332924327	0.53258133	0.458845903	0.330711206
X88_d56	0.288536343	0.309552533	0.368058405	0.290475855	0.297128419	0.242375894	0.297892297	0.443750619	0.27922996	0.203623943	0.282488688	0.244020827	0.261721345	0.362816788	0.228455968	0.276367	0.230703979	0.229113138	0.351445649	0.220935715	0.272446137	0.246295449	0.21671639	0.278001718	0.178359662	0.12426797	0.281889718	0.363115233	0.240394586	0.220423588	0.317059098	0.173416383	0.143114641	0.202967582	0.252724461	0.460959568	0.150704263	0.189369794	0.232861116	0.288726153	0.355067124	0.164417322	0.227480546	0.152541664	0.173225734	0.254067144	0.146455624	0.226222876	0.215339995	0.332924327	0	0.281055121	0.251027589	0.129361414
X89_d56	0.265919973	0.124112325	0.179811424	0.165420411	0.144186436	0.20010799	0.161180538	0.484364197	0.174130563	0.282560309	0.201042677	0.153793124	0.141593442	0.171579393	0.170162074	0.166687612	0.194759787	0.171210673	0.242299955	0.18926092	0.190341839	0.178682099	0.230814673	0.132800018	0.228310898	0.253831614	0.281930833	0.19839321	0.284981491	0.183942956	0.118864414	0.254557947	0.348123606	0.183381074	0.154863491	0.511067219	0.261803375	0.370672993	0.246687199	0.200523219	0.170426134	0.219114533	0.163146376	0.248619107	0.21885959	0.191756588	0.200525286	0.17547101	0.24927383	0.53258133	0.281055121	0	0.183786969	0.301478491
X9_d56	0.199821911	0.155366552	0.20470531	0.166683948	0.173841214	0.135198502	0.106094971	0.366340762	0.176101705	0.194098778	0.100888591	0.101748899	0.15301737	0.179686698	0.144698899	0.14231468	0.143191199	0.179120973	0.176129937	0.155162981	0.109038943	0.115273152	0.132349664	0.134227396	0.213621662	0.21030563	0.232916475	0.236772518	0.196750799	0.189133423	0.214715663	0.190395179	0.285268892	0.173962682	0.137941612	0.412976158	0.256162636	0.298709344	0.141994159	0.146512892	0.177548126	0.191214555	0.13904114	0.238461932	0.168060686	0.163145622	0.174169054	0.173925466	0.247542701	0.458845903	0.251027589	0.183786969	0	0.271898984
X90_d56	0.268651408	0.321561767	0.374458377	0.306177198	0.307443155	0.252450008	0.319107733	0.400809262	0.293114649	0.190244237	0.269986301	0.262298254	0.272691492	0.369911663	0.240835832	0.291580592	0.259021656	0.225846822	0.368998482	0.23104452	0.274478888	0.252469522	0.214652303	0.28888773	0.212369448	0.152029613	0.30505906	0.38405873	0.234850826	0.246520821	0.33052321	0.187396597	0.170414664	0.216430221	0.268385422	0.440692087	0.164980729	0.152366739	0.232156283	0.316761221	0.374267488	0.20821583	0.257479428	0.168930447	0.186401266	0.263647362	0.172454171	0.24886877	0.251418675	0.330711206	0.129361414	0.301478491	0.271898984	0
