AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,FamilyVar1,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,PhylumVar1,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
2.222222222,0.024819224,0.45,0.619047619,7,3,""" o__Clostridiales""",FALSE,"""ASV110""",24.14285714,0,7,0,"""Firmicutes""",0.968660969,FALSE,0,"""ASV110""",524,0.436363636
2.925925926,0,0.341772152,0,1,4,"""S24-7""",FALSE,"""ASV114""",17,0,1,0,"""Bacteroidetes""",0.950617284,FALSE,0,"""ASV114""",0,0
2.024691358,0.001211569,0.493902439,0.822222222,10,3,"""Ruminococcaceae""",FALSE,"""ASV119""",26.4,0,10,0,"""Firmicutes""",0.973725863,FALSE,0,"""ASV119""",70,0.382608696
2.666666667,0,0.375,0,1,4,"""Ruminococcaceae""",FALSE,"""ASV122""",31,0,1,0,"""Firmicutes""",0.957264957,FALSE,0,"""ASV122""",0,0
1.530864198,0.181559262,0.653225806,0.28879892,39,3,"""Ruminococcaceae""",FALSE,"""ASV13""",14.07692308,0,39,0,"""Firmicutes""",0.986388097,FALSE,0,"""ASV13""",4048,0.179815911
3.209876543,0,0.311538462,0,1,4,"""Ruminococcaceae""",FALSE,"""ASV142""",6,0,1,0,"""Firmicutes""",0.943336499,FALSE,0,"""ASV142""",0,0
2.222222222,0.026316387,0.45,0.466666667,6,3,"""Lachnospiraceae""",FALSE,"""ASV145""",21.83333333,0,6,0,"""Firmicutes""",0.968660969,FALSE,0,"""ASV145""",636,0.386904762
2.358024691,0.024691358,0.42408377,0.666666667,6,4,""" o__Clostridiales""",FALSE,"""ASV150""",20.66666667,0,6,0,"""Firmicutes""",0.965178854,FALSE,0,"""ASV150""",546,0.445652174
2.666666667,0,0.375,0,1,4,""" o__Clostridiales""",FALSE,"""ASV151""",31,0,1,0,"""Firmicutes""",0.957264957,FALSE,0,"""ASV151""",0,0
2.580246914,0,0.387559809,1,2,4,"""Ruminococcaceae""",FALSE,"""ASV170""",24.5,0,2,0,"""Firmicutes""",0.959480848,FALSE,0,"""ASV170""",0,0.662162162
1.814814815,0.054943475,0.551020408,0.489130435,24,3,""" o__Clostridiales""",FALSE,"""ASV171""",18.125,0,24,0,"""Firmicutes""",0.979107312,FALSE,0,"""ASV171""",1584,0.254694836
2.567901235,5.12E-04,0.389423077,0.5,4,4,"""Lachnospiraceae""",FALSE,"""ASV177""",17.25,0,4,0,"""Firmicutes""",0.959797404,FALSE,0,"""ASV177""",12,0.5
2.395061728,0,0.417525773,1,5,4,"""Ruminococcaceae""",FALSE,"""ASV178""",26.4,0,5,0,"""Firmicutes""",0.964229186,FALSE,0,"""ASV178""",0,0.586666667
3.160493827,0,0.31640625,0,1,4,""" o__Clostridiales""",FALSE,"""ASV181""",9,0,1,0,"""Firmicutes""",0.944602722,FALSE,0,"""ASV181""",0,0
2.703703704,0,0.369863014,1,2,4,"""Lachnospiraceae""",FALSE,"""ASV197""",24,0,2,0,"""Firmicutes""",0.95631529,FALSE,0,"""ASV197""",0,0.827586207
